
Somatostatin Analog [EPC],CAT003,Cardiovascular
Angiotensin 2 Receptor Antagonists [MoA],CAT003,Cardiovascular
Angiotensin 2 Receptor Blocker [EPC],CAT003,Cardiovascular
Angiotensin Converting Enzyme Inhibitor [EPC],CAT003,Cardiovascular
Antibody-Surface Protein Interactions [MoA],CAT003,Cardiovascular
Radiopharmaceutical Activity [MoA],CAT003,Cardiovascular
Lysosomal beta Glucuronidase [EPC],CAT003,Cardiovascular
Nitrate Vasodilator [EPC],CAT003,Cardiovascular
Calcium Channel Antagonists [MoA],CAT003,Cardiovascular
Prostacycline Vasodilator [EPC],CAT003,Cardiovascular
Interferon beta [EPC],CAT003,Cardiovascular
Decreased Sebaceous Gland Activity [PE],CAT003,Cardiovascular
11-beta Hydroxysteroid Dehydrogenase Type 1 Inhibitors [MoA],CAT003,Cardiovascular
Acetylcholine Release Inhibitor [EPC],CAT003,Cardiovascular
Adrenergic beta2-Agonists [MoA],CAT003,Cardiovascular
Adrenergic beta3-Agonists [MoA],CAT003,Cardiovascular
Adrenergic beta-Agonists [MoA],CAT003,Cardiovascular
Acetyl Aldehyde Dehydrogenase Inhibitors [MoA],CAT003,Cardiovascular
Adrenergic beta-Antagonists [MoA],CAT003,Cardiovascular
Adrenergic beta1-Antagonists [MoA],CAT003,Cardiovascular
HMG-CoA Reductase Inhibitor [EPC],CAT003,Cardiovascular
Skin Barrier Activity [PE],CAT004,Dermatology
Epidermal Growth Factor Receptor Antagonist [EPC],CAT004,Dermatology
Insulin-like Growth Factor-1 Receptor Inhibitor [EPC],CAT005,Diabetes
Insulin [CS],CAT005,Diabetes
Insulin Analog [EPC],CAT005,Diabetes
Antihypoglycemic Agent [EPC],CAT005,Diabetes
GLP-1 Receptor Agonist [EPC],CAT005,Diabetes
Intestinal Lipase Inhibitor [EPC],CAT006,Gastrointestinal
Inhibition Gastric Acid Secretion [PE],CAT006,Gastrointestinal
Proton Pump Inhibitor [EPC],CAT006,Gastrointestinal
Increased Large Intestinal Motility [PE],CAT006,Gastrointestinal
Antiparasitic [EPC],CAT007,Infectious Diseases
Allylamine Antifungal [EPC],CAT007,Infectious Diseases
Echinocandin Antifungal [EPC],CAT007,Infectious Diseases
Nucleoside Analog Antifungal [EPC],CAT007,Infectious Diseases
Lipid-based Polyene Antifungal [EPC],CAT007,Infectious Diseases
Nucleoside Analog Antiviral [EPC],CAT007,Infectious Diseases
Azole Antifungal [EPC],CAT007,Infectious Diseases
Polyene Antifungal [EPC],CAT007,Infectious Diseases
Benzylamine Antifungal [EPC],CAT007,Infectious Diseases
Decreased Central Nervous System Disorganized Electrical Activity [PE],CAT008,Neurology
Central Nervous System Stimulation [PE],CAT008,Neurology
Central Nervous System Stimulant [EPC],CAT008,Neurology
Depolarizing Neuromuscular Blocker [EPC],CAT008,Neurology
Central Nervous System Depression [PE],CAT008,Neurology
Central Nervous System Depressant [EPC],CAT008,Neurology
Dopamine Agonists [MoA],CAT008,Neurology
Dopamine D2 Antagonists [MoA],CAT008,Neurology
Anti-epileptic Agent [EPC],CAT008,Neurology
Neuromuscular Nondepolarizing Blockade [PE],CAT008,Neurology
Serotonin 1b Receptor Agonists [MoA],CAT008,Neurology
Serotonin 3 Receptor Antagonists [MoA],CAT008,Neurology
Serotonin 4 Receptor Agonists [MoA],CAT008,Neurology
Serotonin Reuptake Inhibitor [EPC],CAT008,Neurology
Dopamine Uptake Inhibitors [MoA],CAT008,Neurology
Neurokinin 3 Receptor Antagonist [EPC],CAT008,Neurology
Breast Cancer Resistance Protein Inhibitors [MoA],CAT009,Oncology
Tumor Necrosis Factor Blocker [EPC],CAT009,Oncology
Increased Diuresis [PE],CAT013,Others
Lipoglycopeptide Antibacterial [EPC],CAT013,Others
Human Platelet-derived Growth Factor [EPC],CAT013,Others
Lipid Emulsion [EPC],CAT013,Others
Human Serum Albumin [EPC],CAT013,Others
Hematopoietic Stem Cell Mobilizer [EPC],CAT013,Others
Hydrolytic Lysosomal Cholesteryl Ester-specific Enzyme [EPC],CAT013,Others
Lead Chelating Activity [MoA],CAT013,Others
Kinase Inhibitor [EPC],CAT013,Others
Kallikrein Inhibitors [MoA],CAT013,Others
Janus Kinase Inhibitor [EPC],CAT013,Others
Isocitrate Dehydrogenase 2 Inhibitor [EPC],CAT013,Others
Iron [CS],CAT013,Others
Iron Chelating Activity [MoA],CAT013,Others
Hydrolytic Lysosomal Glucocerebroside-specific Enzyme [EPC],CAT013,Others
Interleukin-6 Antagonist [EPC],CAT013,Others
Interleukin-5 Antagonist [EPC],CAT013,Others
Interleukin-36 Receptor Antagonist [EPC],CAT013,Others
Lipopeptide Antibacterial [EPC],CAT013,Others
Local Anesthesia [PE],CAT013,Others
Lymphocyte Activation Gene-3 Antagonists [MoA],CAT013,Others
Human Immunoglobulin [EPC],CAT013,Others
Menin Inhibitor [EPC],CAT013,Others
Melatonin Receptor Agonist [EPC],CAT013,Others
Melanocortin Receptor Agonist [EPC],CAT013,Others
Melanocortin 4 Receptor Agonist [EPC],CAT013,Others
Glycolipid Disialoganglioside-directed Antibody Interactions [MoA],CAT013,Others
Medium-chain Triglyceride [EPC],CAT013,Others
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],CAT013,Others
Heparin Binding Activity [MoA],CAT013,Others
Interleukin-31 Receptor alpha Antagonist [EPC],CAT013,Others
Heparin,CAT013,Others
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],CAT013,Others
Magnetic Resonance Contrast Activity [MoA],CAT013,Others
Glycopeptide Antibacterial [EPC],CAT013,Others
Glycosaminoglycan [EPC],CAT013,Others
Gonadotropin Releasing Hormone Receptor Agonist [EPC],CAT013,Others
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],CAT013,Others
Human Immunoglobulin G [EPC],CAT013,Others
Lymphocyte Function-Associated Antigen-1 Antagonist [EPC],CAT013,Others
Human Growth Hormone [CS],CAT013,Others
Interleukin-23 Antagonist [EPC],CAT013,Others
Interleukin-17A Antagonist [EPC],CAT013,Others
Gonadotropin [EPC],CAT013,Others
Inhibit Ovum Fertilization [PE],CAT013,Others
Imidazolines [CS],CAT013,Others
Inhalation Diagnostic Agent [EPC],CAT013,Others
Influenza A M2 Protein Inhibitor [EPC],CAT013,Others
Guanylate Cyclase Activators [MoA],CAT013,Others
Increased Uterine Smooth Muscle Contraction or Tone [PE],CAT013,Others
Guanylate Cyclase Stimulators [MoA],CAT013,Others
Increased Prothrombin Activity [PE],CAT013,Others
Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor [EPC],CAT013,Others
Increased Protein Synthesis [PE],CAT013,Others
HIV Protease Inhibitors [MoA],CAT013,Others
Increased Megakaryocyte Maturation [PE],CAT013,Others
Increased Lymphocyte Activation [PE],CAT013,Others
HIV Integrase Inhibitors [MoA],CAT013,Others
HER2/Neu/cerbB2 Antagonists [MoA],CAT013,Others
Metal Chelating Activity [MoA],CAT013,Others
Increased Intravascular Volume [PE],CAT013,Others
Increased Diuresis at Loop of Henle [PE],CAT013,Others
Increased Prostaglandin Activity [PE],CAT013,Others
Increased Cytokine Activity [PE],CAT013,Others
Ileal Bile Acid Transporter Inhibitor [EPC],CAT013,Others
Hyperpolarized Contrast Agent [EPC],CAT013,Others
Interleukin-15 Receptor Agonist [EPC],CAT013,Others
Hydrolytic Lysosomal Glycogen-specific Enzyme [EPC],CAT013,Others
Interleukin-13 Antagonist [EPC],CAT013,Others
Interleukin-12 Antagonist [EPC],CAT013,Others
Interleukin 6 Receptor Antagonists [MoA],CAT013,Others
Interleukin 5 Receptor alpha-directed Antibody Interactions [MoA],CAT013,Others
Interleukin 2 Receptor Antagonists [MoA],CAT013,Others
Interleukin 1 Receptor Antagonists [MoA],CAT013,Others
Hypoxia-Inducible Factor Prolyl Hydroxylase Inhibitors [MoA],CAT013,Others
Interferon gamma [EPC],CAT013,Others
Granulocyte Colony-Stimulating Factor [CS],CAT013,Others
Hydrolytic Lysosomal Glycosaminoglycan-specific Enzyme [EPC],CAT013,Others
Interferon alpha [EPC],CAT013,Others
Interferon alfa-2b [CS],CAT013,Others
Integrin Receptor Antagonist [EPC],CAT013,Others
Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme [EPC],CAT013,Others
Hedgehog Pathway Inhibitor [EPC],CAT013,Others
Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],CAT013,Others
Interferon gamma Antagonists [MoA],CAT013,Others
Growth Hormone Secretagogue Receptor Agonist [EPC],CAT013,Others
Norepinephrine Reuptake Inhibitor [EPC],CAT013,Others
Methyltransferase Inhibitor [EPC],CAT013,Others
Tetracycline-class Antimicrobial [EPC],CAT013,Others
Tetracycline-class Antibacterial [EPC],CAT013,Others
Sulfonylurea Compounds [CS],CAT013,Others
Sulfone [EPC],CAT013,Others
Sucrose-specific Enzyme [EPC],CAT013,Others
Sphingosine 1-Phosphate Receptor Modulators [MoA],CAT013,Others
Sodium-Glucose Cotransporter 2 Inhibitor [EPC],CAT013,Others
Sigma-1 Agonist [EPC],CAT013,Others
Semifluorinated Alkane [EPC],CAT013,Others
Sclerosing Activity [MoA],CAT013,Others
SARS-CoV-2 Nucleotide Analog RNA Polymerase Inhibitor [EPC],CAT013,Others
Rifamycin Antimycobacterial [EPC],CAT013,Others
Rifamycin Antibacterial [EPC],CAT013,Others
Rho Kinase Inhibitor [EPC],CAT013,Others
Retinoid [EPC],CAT013,Others
Renin Inhibitor [EPC],CAT013,Others
Radioligand Activity [MoA],CAT013,Others
Radiographic Contrast Agent [EPC],CAT013,Others
Radioactive alpha-Particle Emitting Therapeutic Agent [EPC],CAT013,Others
Radioactive Therapeutic Agent [EPC],CAT013,Others
Radioactive Diagnostic Agent [EPC],CAT013,Others
RNA Synthetase Inhibitor Antibacterial [EPC],CAT013,Others
RANK Ligand Blocking Activity [MoA],CAT013,Others
Pyridone [EPC],CAT013,Others
Pyrethrins [CS],CAT013,Others
Tetracycline-class Drug [EPC],CAT013,Others
Thalidomide Analog [EPC],CAT013,Others
Thymic Stromal Lymphopoietin Blocker [EPC],CAT013,Others
Thyroid Hormone Synthesis Inhibitor [EPC],CAT013,Others
