Inventory_ID,Medicine_ID,Supplier_ID,Batch_Number,Manufacturing_Date,Expiry_Date,Quantity_In_Stock,Unit_Cost,Selling_Price,Reorder_Level,Storage_Temperature,Warehouse_Location,Stock_Status,Last_Restock_Date
INV000001,MED103673,SUP0015,BAT126225,2025-02-03,2026-08-27,137,407.64,561.91,51,Room Temperature,WH-E,In Stock,2025-04-16
INV000002,MED067629,SUP0005,BAT131244,2024-01-28,2025-07-21,516,20.79,25.77,179,Frozen (-20Â°C),WH-E,In Stock,2024-04-11
INV000003,MED067313,SUP0029,BAT571029,2025-02-09,2026-02-04,711,207.45,255.39,133,Refrigerated (2â€“8Â°C),WH-A,In Stock,2025-04-05
INV000004,MED014580,SUP0049,BAT201414,2025-07-25,2027-06-15,267,439.19,574.13,36,Refrigerated (2â€“8Â°C),WH-A,In Stock,2026-01-10
INV000005,MED089590,SUP0038,BAT969693,2025-07-30,2028-01-16,713,32.27,40.19,42,Refrigerated (2â€“8Â°C),WH-A,In Stock,2025-10-02
INV000006,MED037885,SUP0013,BAT498591,2025-02-09,2027-03-31,853,101.78,129.37,118,Frozen (-20Â°C),WH-C,In Stock,2025-08-05
INV000007,MED114258,SUP0010,BAT738720,2024-07-05,2026-11-22,163,230.78,322.61,143,Frozen (-20Â°C),WH-E,In Stock,2024-09-20
INV000008,MED036034,SUP0042,BAT983794,2023-11-12,2025-06-04,821,243.69,295.65,105,Frozen (-20Â°C),WH-C,In Stock,2023-12-05
INV000009,MED035111,SUP0064,BAT514850,2026-02-14,2027-06-09,128,448.27,586.25,88,Frozen (-20Â°C),WH-E,In Stock,2026-05-07
INV000010,MED068489,SUP0075,BAT518801,2025-07-31,2027-02-21,521,59.09,71.46,151,Room Temperature,WH-B,In Stock,2025-09-19
INV000011,MED102066,SUP0021,BAT930555,2025-12-01,2028-06-18,393,359.55,465.12,122,Refrigerated (2â€“8Â°C),WH-E,In Stock,2026-01-01
INV000012,MED001510,SUP0015,BAT814825,2025-01-17,2028-01-02,345,179.63,221.24,53,Room Temperature,WH-C,In Stock,2025-07-15
INV000013,MED080517,SUP0023,BAT632342,2024-02-23,2026-10-10,855,307.06,380.69,188,Refrigerated (2â€“8Â°C),WH-B,In Stock,2024-05-24
INV000014,MED087904,SUP0068,BAT100599,2025-05-14,2027-08-02,101,527.84,721.21,117,Refrigerated (2â€“8Â°C),WH-B,Low Stock,2025-06-02
INV000015,MED009934,SUP0031,BAT694916,2023-12-29,2025-02-21,833,586.9,766.81,42,Room Temperature,WH-B,In Stock,2024-05-16
INV000016,MED106514,SUP0061,BAT676510,2024-06-23,2026-02-13,889,256.77,319.0,180,Frozen (-20Â°C),WH-B,In Stock,2024-11-20
INV000017,MED115843,SUP0040,BAT518373,2025-08-23,2027-10-12,462,152.5,184.95,55,Room Temperature,WH-E,In Stock,2026-01-17
INV000018,MED089840,SUP0030,BAT717024,2024-10-14,2025-10-09,708,40.03,48.58,186,Room Temperature,WH-C,In Stock,2024-11-16
INV000019,MED011702,SUP0066,BAT349565,2025-02-10,2027-10-28,219,83.73,116.14,163,Frozen (-20Â°C),WH-E,In Stock,2025-06-29
INV000020,MED076724,SUP0032,BAT922733,2026-03-15,2028-04-03,89,397.09,504.65,49,Refrigerated (2â€“8Â°C),WH-D,In Stock,2026-05-17
INV000021,MED117999,SUP0007,BAT806073,2024-02-07,2025-03-03,739,481.35,588.14,111,Room Temperature,WH-B,In Stock,2024-06-04
INV000022,MED087499,SUP0058,BAT246991,2025-12-01,2027-04-25,473,525.32,638.3,88,Frozen (-20Â°C),WH-A,In Stock,2026-02-25
INV000023,MED008954,SUP0070,BAT976638,2023-08-20,2024-10-13,154,293.96,365.32,129,Refrigerated (2â€“8Â°C),WH-A,In Stock,2023-11-03
INV000024,MED026433,SUP0049,BAT102260,2025-09-27,2027-05-20,288,419.47,564.65,133,Frozen (-20Â°C),WH-D,In Stock,2026-02-05
INV000025,MED025128,SUP0025,BAT411120,2024-10-08,2025-11-02,745,41.27,52.11,163,Room Temperature,WH-E,In Stock,2025-03-20
INV000026,MED077271,SUP0065,BAT994141,2026-07-12,2027-12-04,970,52.67,65.16,155,Frozen (-20Â°C),WH-A,In Stock,2026-07-20
