Waste_Record_ID,Inventory_ID,Medicine_ID,Batch_Number,Waste_Date,Expiry_Date,Quantity_Wasted,Unit_Cost,Total_Waste_Value,Waste_Reason,Disposal_Method,Disposal_Status,Reported_By,Warehouse_Location,Remarks
WR000001,INV000592,MED001867,BAT733152,2026-07-21,2026-12-29,169,225.01,38026.69,Expired,Return to Supplier,Completed,EMP013,WH-B,Expired stock removed
WR000002,INV000382,MED066849,BAT941235,2026-07-09,2027-05-28,7,368.76,2581.32,Recalled,Incineration,Completed,EMP001,WH-B,Manufacturer recall
WR000003,INV000938,MED076463,BAT492491,2026-04-19,2027-02-12,187,324.17,60619.79,Recalled,Recycling,Completed,EMP016,WH-D,Safety recall
WR000004,INV000677,MED136804,BAT484264,2026-07-21,2026-09-22,74,588.87,43576.38,Expired,Recycling,Completed,EMP001,WH-B,Medicine expired
WR000005,INV001186,MED135113,BAT432369,2026-07-21,2027-09-04,86,573.44,49315.84,Expired,Recycling,Completed,EMP016,WH-B,Expired stock removed
WR000006,INV003396,MED130532,BAT943380,2026-07-21,2027-04-09,20,20.32,406.4,Expired,Incineration,Completed,EMP006,WH-E,Medicine expired
WR000007,INV004505,MED005500,BAT719810,2026-03-06,2025-12-05,108,480.1,51850.8,Expired,Biohazard Disposal,Pending,EMP010,WH-C,Expired stock removed
WR000008,INV002715,MED020576,BAT788770,2026-05-07,2027-08-12,59,425.28,25091.52,Contaminated,Biohazard Disposal,Completed,EMP012,WH-B,Quality issue
WR000009,INV000771,MED129384,BAT721285,2026-06-07,2026-07-24,40,592.24,23689.6,Recalled,Return to Supplier,Completed,EMP010,WH-C,Manufacturer recall
WR000010,INV004825,MED033228,BAT495324,2026-07-21,2028-04-13,63,599.38,37760.94,Expired,Recycling,Completed,EMP010,WH-D,Expired stock removed
WR000011,INV004614,MED109470,BAT346967,2026-07-21,2026-08-01,58,393.37,22815.46,Expired,Return to Supplier,Completed,EMP006,WH-A,Medicine expired
