Supplier_Name,Supplier_Type,City,State,Company_Domain
Sun Pharmaceutical Industries Ltd,Manufacturer,Mumbai,Maharashtra
Dr. Reddy's Laboratories Ltd,Manufacturer,Hyderabad,Telangana
Cipla Ltd,Manufacturer,Mumbai,Maharashtra
Lupin Ltd,Manufacturer,Mumbai,Maharashtra
Aurobindo Pharma Ltd,Manufacturer,Hyderabad,Telangana
Torrent Pharmaceuticals Ltd,Manufacturer,Ahmedabad,Gujarat
Alkem Laboratories Ltd,Manufacturer,Mumbai,Maharashtra
Mankind Pharma Ltd,Manufacturer,New Delhi,Delhi
Zydus Lifesciences Ltd,Manufacturer,Ahmedabad,Gujarat
Glenmark Pharmaceuticals Ltd,Manufacturer,Mumbai,Maharashtra
Abbott India Ltd,Manufacturer,Mumbai,Maharashtra
Pfizer India Ltd,Manufacturer,Mumbai,Maharashtra
Sanofi India Ltd,Manufacturer,Mumbai,Maharashtra
GSK Pharmaceuticals Ltd,Manufacturer,Mumbai,Maharashtra
Bayer Pharmaceuticals Pvt Ltd,Manufacturer,Mumbai,Maharashtra
Cadila Pharmaceuticals Ltd,Manufacturer,Ahmedabad,Gujarat
Micro Labs Ltd,Manufacturer,Bengaluru,Karnataka
Intas Pharmaceuticals Ltd,Manufacturer,Ahmedabad,Gujarat
Biocon Ltd,Manufacturer,Bengaluru,Karnataka
Alembic Pharmaceuticals Ltd,Manufacturer,Vadodara,Gujarat
Hetero Labs Ltd,Manufacturer,Hyderabad,Telangana
Natco Pharma Ltd,Manufacturer,Hyderabad,Telangana
Divi's Laboratories Ltd,Manufacturer,Hyderabad,Telangana
Granules India Ltd,Manufacturer,Hyderabad,Telangana
Ipca Laboratories Ltd,Manufacturer,Mumbai,Maharashtra
Wockhardt Ltd,Manufacturer,Mumbai,Maharashtra
Strides Pharma Science Ltd,Manufacturer,Bengaluru,Karnataka
Emcure Pharmaceuticals Ltd,Manufacturer,Pune,Maharashtra
Ajanta Pharma Ltd,Manufacturer,Mumbai,Maharashtra
Eris Lifesciences Ltd,Manufacturer,Ahmedabad,Gujarat
MedPlus Health Services,Distributor,Hyderabad,Telangana
Apollo Pharmacy Distribution,Distributor,Hyderabad,Telangana
Reliance Retail Pharma,Distributor,Mumbai,Maharashtra
Tata 1mg Distribution,Distributor,Gurugram,Haryana
Netmeds Distribution,Distributor,Chennai,Tamil Nadu
Wellness Forever Distribution,Distributor,Mumbai,Maharashtra
PharmEasy Supply Chain,Distributor,Mumbai,Maharashtra
CarePlus Distributors,Distributor,Bengaluru,Karnataka
LifeCare Pharma Distributors,Distributor,Hyderabad,Telangana
Prime Medical Distributors,Distributor,Ahmedabad,Gujarat
HealthFirst Distributors,Distributor,Chennai,Tamil Nadu
MediLink Healthcare,Distributor,Pune,Maharashtra
South India Pharma Distributors,Distributor,Chennai,Tamil Nadu
North India Medical Suppliers,Distributor,Delhi,Delhi
Eastern Pharma Distribution,Distributor,Kolkata,West Bengal
Western Medical Distributors,Distributor,Mumbai,Maharashtra
Central Healthcare Suppliers,Distributor,Nagpur,Maharashtra
Universal Pharma Traders,Wholesaler,Hyderabad,Telangana
Shree Medical Agencies,Wholesaler,Ahmedabad,Gujarat
Sai Pharma Agencies,Wholesaler,Vijayawada,Andhra Pradesh
Sri Balaji Medical Suppliers,Wholesaler,Hyderabad,Telangana
Om Medical Corporation,Wholesaler,Pune,Maharashtra
Jai Pharma Agencies,Wholesaler,Jaipur,Rajasthan
National Pharma Traders,Wholesaler,Delhi,Delhi
United Medical Suppliers,Wholesaler,Bengaluru,Karnataka
Global Pharma Agencies,Wholesaler,Chennai,Tamil Nadu
City Medical Distributors,Wholesaler,Hyderabad,Telangana
RK Pharma Agencies,Wholesaler,Visakhapatnam,Andhra Pradesh
SV Medical Traders,Wholesaler,Warangal,Telangana
Metro Pharma Suppliers,Wholesaler,Mumbai,Maharashtra
Elite Medical Agencies,Wholesaler,Ahmedabad,Gujarat
Prime Healthcare Traders,Wholesaler,Lucknow,Uttar Pradesh
HealthCare Wholesale Solutions,Wholesaler,Noida,Uttar Pradesh
MediServe Pharma,Wholesaler,Hyderabad,Telangana
Nova Medical Traders,Wholesaler,Bengaluru,Karnataka
Sigma Healthcare Suppliers,Wholesaler,Chennai,Tamil Nadu
Apex Pharma Traders,Wholesaler,Pune,Maharashtra
CareWell Medical Agencies,Wholesaler,Nagpur,Maharashtra
Unity Pharma Traders,Wholesaler,Delhi,Delhi
Galaxy Medical Suppliers,Wholesaler,Hyderabad,Telangana
LifeLine Pharma Agencies,Wholesaler,Mumbai,Maharashtra
MedCore Healthcare,Wholesaler,Ahmedabad,Gujarat
Trust Medical Distributors,Wholesaler,Hyderabad,Telangana
National Drug Suppliers,Wholesaler,Chennai,Tamil Nadu
Supreme Pharma Traders,Wholesaler,Bengaluru,Karnataka
