Supplier_ID,Supplier_Name,Supplier_Type,Supplier_Category,Preferred_Supplier,City,State,Contact_Email,Contact_Number,Lead_Time_Days,Supplier_Rating,Active_Status,Contract_Start_Date,Contract_End_Date,GST_Number
SUP0001,Sun Pharmaceutical Industries Ltd,Manufacturer,Domestic,Yes,Mumbai,Maharashtra,procurement@sunpharma.com,8746317213,8,4.2,Active,2025-10-17,2030-10-16,27XCKAF5016R1Z5
SUP0002,Dr. Reddy's Laboratories Ltd,Manufacturer,Domestic,No,Hyderabad,Telangana,procurement@drreddys.com,7801823908,10,4.6,Active,2022-11-23,2027-11-22,36KHFTC3332B1Z5
SUP0003,Cipla Ltd,Manufacturer,International,No,Mumbai,Maharashtra,procurement@cipla.com,9134174160,14,4.6,Active,2025-07-11,2030-07-10,27XJEBR7988M1Z5
SUP0004,Lupin Ltd,Manufacturer,Domestic,No,Mumbai,Maharashtra,procurement@lupin.com,7193887545,14,4.7,Active,2023-07-01,2028-06-29,27YQPES1396R1Z5
SUP0005,Aurobindo Pharma Ltd,Manufacturer,Domestic,Yes,Hyderabad,Telangana,procurement@aurobindo.com,6943239974,17,4.5,Active,2023-10-09,2027-10-08,36GFYWI6394I1Z5
SUP0006,Torrent Pharmaceuticals Ltd,Manufacturer,Domestic,No,Ahmedabad,Gujarat,procurement@torrentpharma.com,6599707677,10,4.8,Active,2025-04-10,2029-04-09,24JZDMT8116T1Z5
SUP0007,Alkem Laboratories Ltd,Manufacturer,International,No,Mumbai,Maharashtra,procurement@alkemlabs.com,6272849424,13,4.5,Inactive,2022-01-24,2027-01-23,27SRNGQ1449X1Z5
SUP0008,Mankind Pharma Ltd,Manufacturer,Domestic,Yes,New Delhi,Delhi,procurement@mankindpharma.com,7131247330,15,4.8,Active,2025-08-01,2030-07-31,07PDTOU5030L1Z5
SUP0009,Zydus Lifesciences Ltd,Manufacturer,Domestic,Yes,Ahmedabad,Gujarat,procurement@zyduslife.com,9774081712,20,4.8,Active,2022-06-11,2025-06-10,24TVZND6915T1Z5
SUP0010,Glenmark Pharmaceuticals Ltd,Manufacturer,Domestic,No,Mumbai,Maharashtra,procurement@glenmarkpharma.com,7817363615,10,4.9,Active,2024-03-28,2029-03-27,27QLNDF3522C1Z5
SUP0011,Abbott India Ltd,Manufacturer,Domestic,Yes,Mumbai,Maharashtra,procurement@abbott.com,9040153710,17,4.2,Active,2024-11-18,2027-11-18,27HMOSW5244D1Z5
SUP0012,Pfizer India Ltd,Manufacturer,Domestic,No,Mumbai,Maharashtra,procurement@pfizer.com,6416314667,17,4.5,Active,2025-10-11,2030-10-10,27ZCKIW2144I1Z5
