Date,Year,Quarter,Month,Month_Name,Week,Day,Day_Name,Weekday
2023-07-21,2023,Q3,7,July,29,21,Friday,5
2023-07-22,2023,Q3,7,July,29,22,Saturday,6
2023-07-23,2023,Q3,7,July,29,23,Sunday,7
2023-07-24,2023,Q3,7,July,30,24,Monday,1
2023-07-25,2023,Q3,7,July,30,25,Tuesday,2
2023-07-26,2023,Q3,7,July,30,26,Wednesday,3
2023-07-27,2023,Q3,7,July,30,27,Thursday,4
2023-07-28,2023,Q3,7,July,30,28,Friday,5
2023-07-29,2023,Q3,7,July,30,29,Saturday,6
2023-07-30,2023,Q3,7,July,30,30,Sunday,7
2023-07-31,2023,Q3,7,July,31,31,Monday,1
2023-08-01,2023,Q3,8,August,31,1,Tuesday,2
2023-08-02,2023,Q3,8,August,31,2,Wednesday,3
2023-08-03,2023,Q3,8,August,31,3,Thursday,4
2023-08-04,2023,Q3,8,August,31,4,Friday,5
2023-08-05,2023,Q3,8,August,31,5,Saturday,6
2023-08-06,2023,Q3,8,August,31,6,Sunday,7
2023-08-07,2023,Q3,8,August,32,7,Monday,1
2023-08-08,2023,Q3,8,August,32,8,Tuesday,2
2023-08-09,2023,Q3,8,August,32,9,Wednesday,3
2023-08-10,2023,Q3,8,August,32,10,Thursday,4
2023-08-11,2023,Q3,8,August,32,11,Friday,5
2023-08-12,2023,Q3,8,August,32,12,Saturday,6
2023-08-13,2023,Q3,8,August,32,13,Sunday,7
2023-08-14,2023,Q3,8,August,33,14,Monday,1
2023-08-15,2023,Q3,8,August,33,15,Tuesday,2
2023-08-16,2023,Q3,8,August,33,16,Wednesday,3
2023-08-17,2023,Q3,8,August,33,17,Thursday,4
2023-08-18,2023,Q3,8,August,33,18,Friday,5
2023-08-19,2023,Q3,8,August,33,19,Saturday,6
2023-08-20,2023,Q3,8,August,33,20,Sunday,7
2023-08-21,2023,Q3,8,August,34,21,Monday,1
2023-08-22,2023,Q3,8,August,34,22,Tuesday,2
2023-08-23,2023,Q3,8,August,34,23,Wednesday,3
2023-08-24,2023,Q3,8,August,34,24,Thursday,4
2023-08-25,2023,Q3,8,August,34,25,Friday,5
2023-08-26,2023,Q3,8,August,34,26,Saturday,6
2023-08-27,2023,Q3,8,August,34,27,Sunday,7
2023-08-28,2023,Q3,8,August,35,28,Monday,1
2023-08-29,2023,Q3,8,August,35,29,Tuesday,2
2023-08-30,2023,Q3,8,August,35,30,Wednesday,3
2023-08-31,2023,Q3,8,August,35,31,Thursday,4
2023-09-01,2023,Q3,9,September,35,1,Friday,5
2023-09-02,2023,Q3,9,September,35,2,Saturday,6
2023-09-03,2023,Q3,9,September,35,3,Sunday,7
2023-09-04,2023,Q3,9,September,36,4,Monday,1
2023-09-05,2023,Q3,9,September,36,5,Tuesday,2
2023-09-06,2023,Q3,9,September,36,6,Wednesday,3
2023-09-07,2023,Q3,9,September,36,7,Thursday,4
2023-09-08,2023,Q3,9,September,36,8,Friday,5
2023-09-09,2023,Q3,9,September,36,9,Saturday,6
2023-09-10,2023,Q3,9,September,36,10,Sunday,7
2023-09-11,2023,Q3,9,September,37,11,Monday,1
2023-09-12,2023,Q3,9,September,37,12,Tuesday,2
2023-09-13,2023,Q3,9,September,37,13,Wednesday,3
2023-09-14,2023,Q3,9,September,37,14,Thursday,4
2023-09-15,2023,Q3,9,September,37,15,Friday,5
2023-09-16,2023,Q3,9,September,37,16,Saturday,6
2023-09-17,2023,Q3,9,September,37,17,Sunday,7
2023-09-18,2023,Q3,9,September,38,18,Monday,1
2023-09-19,2023,Q3,9,September,38,19,Tuesday,2
2023-09-20,2023,Q3,9,September,38,20,Wednesday,3
2023-09-21,2023,Q3,9,September,38,21,Thursday,4
2023-09-22,2023,Q3,9,September,38,22,Friday,5
2023-09-23,2023,Q3,9,September,38,23,Saturday,6
2023-09-24,2023,Q3,9,September,38,24,Sunday,7
2023-09-25,2023,Q3,9,September,39,25,Monday,1
2023-09-26,2023,Q3,9,September,39,26,Tuesday,2
2023-09-27,2023,Q3,9,September,39,27,Wednesday,3
2023-09-28,2023,Q3,9,September,39,28,Thursday,4
2023-09-29,2023,Q3,9,September,39,29,Friday,5
2023-09-30,2023,Q3,9,September,39,30,Saturday,6
2023-10-01,2023,Q4,10,October,39,1,Sunday,7
2023-10-02,2023,Q4,10,October,40,2,Monday,1
2023-10-03,2023,Q4,10,October,40,3,Tuesday,2
2023-10-04,2023,Q4,10,October,40,4,Wednesday,3
2023-10-05,2023,Q4,10,October,40,5,Thursday,4
2023-10-06,2023,Q4,10,October,40,6,Friday,5
2023-10-07,2023,Q4,10,October,40,7,Saturday,6
2023-10-08,2023,Q4,10,October,40,8,Sunday,7
2023-10-09,2023,Q4,10,October,41,9,Monday,1
2023-10-10,2023,Q4,10,October,41,10,Tuesday,2
2023-10-11,2023,Q4,10,October,41,11,Wednesday,3
2023-10-12,2023,Q4,10,October,41,12,Thursday,4
2023-10-13,2023,Q4,10,October,41,13,Friday,5
2023-10-14,2023,Q4,10,October,41,14,Saturday,6
2023-10-15,2023,Q4,10,October,41,15,Sunday,7
2023-10-16,2023,Q4,10,October,42,16,Monday,1
2023-10-17,2023,Q4,10,October,42,17,Tuesday,2
2023-10-18,2023,Q4,10,October,42,18,Wednesday,3
2023-10-19,2023,Q4,10,October,42,19,Thursday,4
2023-10-20,2023,Q4,10,October,42,20,Friday,5
2023-10-21,2023,Q4,10,October,42,21,Saturday,6
2023-10-22,2023,Q4,10,October,42,22,Sunday,7
2023-10-23,2023,Q4,10,October,43,23,Monday,1
2023-10-24,2023,Q4,10,October,43,24,Tuesday,2
2023-10-25,2023,Q4,10,October,43,25,Wednesday,3
2023-10-26,2023,Q4,10,October,43,26,Thursday,4
2023-10-27,2023,Q4,10,October,43,27,Friday,5
2023-10-28,2023,Q4,10,October,43,28,Saturday,6
2023-10-29,2023,Q4,10,October,43,29,Sunday,7
2023-10-30,2023,Q4,10,October,44,30,Monday,1
2023-10-31,2023,Q4,10,October,44,31,Tuesday,2
2023-11-01,2023,Q4,11,November,44,1,Wednesday,3
2023-11-02,2023,Q4,11,November,44,2,Thursday,4
2023-11-03,2023,Q4,11,November,44,3,Friday,5
2023-11-04,2023,Q4,11,November,44,4,Saturday,6
2023-11-05,2023,Q4,11,November,44,5,Sunday,7
2023-11-06,2023,Q4,11,November,45,6,Monday,1
2023-11-07,2023,Q4,11,November,45,7,Tuesday,2
2023-11-08,2023,Q4,11,November,45,8,Wednesday,3
2023-11-09,2023,Q4,11,November,45,9,Thursday,4
2023-11-10,2023,Q4,11,November,45,10,Friday,5
2023-11-11,2023,Q4,11,November,45,11,Saturday,6
2023-11-12,2023,Q4,11,November,45,12,Sunday,7
2023-11-13,2023,Q4,11,November,46,13,Monday,1
