Medicine_ID,Product_NDC,Generic_Name,Brand_Name,Manufacturer,Active_Ingredient,Strength,Dosage_Form,Route,Pharm_Class,Category_ID,Category_Name
MED000020,72162-1824,Temazepam,Temazepam,Bryant Ranch Prepack,TEMAZEPAM,15 mg/1,CAPSULE,ORAL,Benzodiazepine [EPC],CAT005,Neurology
MED000028,0480-2607,Sitagliptin,Sitagliptin,"Teva Pharmaceuticals, Inc.",SITAGLIPTIN PHOSPHATE,25 mg/1,"TABLET, FILM COATED",ORAL,Dipeptidyl Peptidase 4 Inhibitor [EPC],CAT002,Cardiovascular
MED000064,72162-2462,Losartan Potassium And Hydrochlorothiazide,Losartan Potassium And Hydrochlorothiazide,Bryant Ranch Prepack,HYDROCHLOROTHIAZIDE,12.5 mg/1,"TABLET, FILM COATED",ORAL,Angiotensin 2 Receptor Antagonists [MoA],CAT003,Diabetes
MED000077,72162-2608,Clobazam,Clobazam,Bryant Ranch Prepack,CLOBAZAM,2.5 mg/mL,SUSPENSION,ORAL,Benzodiazepine [EPC],CAT005,Neurology
MED000128,72189-635,Metformin Hcl,Metformin Hcl,Direct_Rx,METFORMIN HYDROCHLORIDE,1000 mg/1,TABLET,ORAL,Biguanide [EPC],CAT002,Cardiovascular
MED000137,72205-037,Levetiracetam,Levetiracetam,Novadoz Pharmaceuticals Llc,LEVETIRACETAM,100 mg/mL,SOLUTION,ORAL,Decreased Central Nervous System Disorganized Electrical Activity [PE],CAT005,Neurology
MED000148,72205-107,Chlorpromazine Hydrochloride,Chlorpromazine Hydrochloride,Novadoz Pharmaceuticals Llc,CHLORPROMAZINE HYDROCHLORIDE,200 mg/1,"TABLET, SUGAR COATED",ORAL,Phenothiazine [EPC],CAT005,Neurology
MED000202,72288-915,Omeprazole,Basic Care Omeprazole,Amazon.Com Services Llc,OMEPRAZOLE,20 mg/1,"TABLET, DELAYED RELEASE",ORAL,Cytochrome P450 2C19 Inhibitors [MoA],CAT014,Vitamins & Supplements
MED000206,72326-8003,Sodium Fluoride,Plak Smacker Great White Shark,"Young Ps Acquisition, Llc",SODIUM FLUORIDE,1.4 mg/g,PASTE,DENTAL,UNKNOWN,CAT015,Others
MED000212,72407-411,"Octinoxate, Titanium Dioxide, Zinc Oxide",Perfect Glow Bb Cream Sunscreen Spf 30 - Light Medium,"Pur-Lisse Beauty, Llc",OCTINOXATE,6.5 g/100mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED000245,72476-877,Mineral Oil,Mineral Oil,"Retail Business Services, Llc",MINERAL OIL,999 mg/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
