Dataset,Column,Data_Type,Missing_Values,Unique_Values,Sample_Value
Feature Store,Inventory_ID,object,0,4954,INV004233
Feature Store,Medicine_ID,object,0,4824,MED056437
Feature Store,Supplier_ID,object,0,75,SUP0058
Feature Store,Batch_Number,object,0,4954,BAT986959
Feature Store,Manufacturing_Date,object,0,1084,2026-03-05
Feature Store,Expiry_Date,object,0,1531,2027-03-30
Feature Store,Quantity_In_Stock,int64,0,993,992
Feature Store,Unit_Cost,float64,0,4753,597.63
Feature Store,Selling_Price,float64,0,4788,806.78
Feature Store,Reorder_Level,int64,0,176,118
Feature Store,Storage_Temperature,object,0,3,Frozen (-20Â°C)
Feature Store,Warehouse_Location,object,0,5,WH-A
Feature Store,Stock_Status,object,0,3,In Stock
Feature Store,Last_Restock_Date,object,0,1038,2026-04-23
Feature Store,Product_NDC,object,0,4824,98132-316
Feature Store,Generic_Name,object,0,2088,Titanium Dioxide
Feature Store,Brand_Name,object,0,3193,Bareminerals Barepro Performance Wear Liquid Foundation Broad Spectrum Spf 20 Latte 24
Feature Store,Manufacturer,object,0,1500,Orveon Global Us Llc
Feature Store,Active_Ingredient,object,0,1246,TITANIUM DIOXIDE
Feature Store,Strength,object,0,1066,33.2 mg/mL
Feature Store,Dosage_Form,object,0,106,LIQUID
Feature Store,Route,object,0,33,TOPICAL
Feature Store,Pharm_Class,object,0,319,UNKNOWN
Feature Store,Category_ID,object,0,14,CAT015
Feature Store,Supplier_Name,object,0,75,RK Pharma Agencies
Feature Store,Supplier_Type,object,0,3,Wholesaler
Feature Store,Supplier_Category,object,0,2,Domestic
Feature Store,Preferred_Supplier,object,0,2,No
Feature Store,City,object,0,18,Visakhapatnam
Feature Store,State,object,0,11,Andhra Pradesh
Feature Store,Contact_Email,object,0,75,procurement@rkagencies.in
Feature Store,Contact_Number,int64,0,75,8489250532
Feature Store,Lead_Time_Days,int64,0,19,4
Feature Store,Supplier_Rating,float64,0,16,4.3
Feature Store,Active_Status,object,0,2,Active
Feature Store,Contract_Start_Date,object,0,73,2022-12-26
Feature Store,Contract_End_Date,object,0,75,2025-12-25
Feature Store,GST_Number,object,0,75,37DOZNX8284Z1Z5
Feature Store,Category_Name,object,0,14,Others
Feature Store,Description,object,0,14,Medicines that do not fit into the predefined business categories
Feature Store,Total_Revenue,float64,0,617,0.0
Feature Store,Total_Quantity_Sold,float64,0,13,0.0
Feature Store,Average_Discount,float64,0,9,0.0
Feature Store,Total_Transactions,float64,0,4,0.0
Feature Store,Total_Waste_Value,float64,0,2447,2390.52
Feature Store,Total_Quantity_Wasted,float64,0,217,4.0
Feature Store,Inventory_Value,float64,0,4953,592848.96
Feature Store,Potential_Sales_Value,float64,0,4950,800325.76
Feature Store,Potential_Gross_Profit,float64,0,4950,207476.80000000005
Feature Store,Profit_per_Unit,float64,0,4650,209.15
Feature Store,Profit_Margin_Percentage,float64,0,1179,25.92
Feature Store,Markup_Percentage,float64,0,1857,35.0
Feature Store,Revenue_per_Transaction,float64,0,617,0.0
Feature Store,Revenue_per_Unit_Sold,float64,0,618,0.0
Feature Store,Inventory_ROI,float64,0,644,-100.0
Feature Store,Cost_to_Revenue_Ratio,float64,0,643,0.0
Feature Store,Days_to_Expiry,int64,0,1531,240
Feature Store,Inventory_Age_Days,int64,0,1084,150
