Category_Name,Total_Revenue,Total_Profit,Inventory_Value,Waste_Value,Medicines
Others,393272.81,79594873.56,267011773.82,26642848.43,1788
Diabetes,171768.32,28587310.71,95852430.78,9565058.72,680
Neurology,139529.49,31126375.98,103123117.58,9728058.62,655
Pain Management,81045.29000000001,20588820.61,69042188.92,6438615.48,453
Respiratory,68520.42,14237130.6,48107461.67,4711148.43,332
Gastrointestinal,52402.22,8813203.83,29025226.82,3224592.71,196
Vitamins & Supplements,50938.05,7462446.78,26175145.6,3217098.4899999998,182
Antibiotics,35593.52,10540256.030000001,35198864.65,2457201.14,231
Ophthalmology,26371.97,5842429.07,19777808.7,1932384.92,126
Oncology,15169.95,5140033.140000001,16578770.98,1567737.59,111
Vaccines & Biologics,6128.54,1716976.2899999996,5601131.33,505989.04,38
Allergy,3417.19,2482061.19,7842278.48,809806.71,45
Cardiovascular,2483.99,2990976.63,10464620.74,1151514.81,67
Dermatology,1974.93,1991953.11,6616108.0,699098.63,50
