Supplier_ID,Supplier_Name,Supplier_Rating,Lead_Time,Performance_Index,Inventory_Value
SUP0018,Intas Pharmaceuticals Ltd,5.0,8.0,92.0,10366271.6
SUP0045,Eastern Pharma Distribution,4.7,3.0,91.0,9895586.62
SUP0010,Glenmark Pharmaceuticals Ltd,4.9,10.0,88.0,10311035.77
SUP0034,Tata 1mg Distribution,4.6,4.0,88.0,9816876.72
SUP0052,Om Medical Corporation,4.5,2.0,88.0,12918007.76
SUP0063,HealthCare Wholesale Solutions,4.5,2.0,88.0,6139376.45
SUP0033,Reliance Retail Pharma,4.6,4.0,88.0,7637008.93
SUP0013,Sanofi India Ltd,4.9,10.0,88.0,7464335.16
SUP0035,Netmeds Distribution,4.6,4.0,88.0,9170972.51
SUP0028,Emcure Pharmaceuticals Ltd,4.8,9.0,87.0,8431261.33
SUP0022,Natco Pharma Ltd,4.9,11.0,87.0,10269707.31
SUP0070,Galaxy Medical Suppliers,4.6,6.0,86.0,11291131.290000001
SUP0006,Torrent Pharmaceuticals Ltd,4.8,10.0,86.0,9616882.2
SUP0062,Prime Healthcare Traders,4.4,2.0,86.0,11040727.88
SUP0068,CareWell Medical Agencies,4.5,4.0,86.0,7276010.47
SUP0027,Strides Pharma Science Ltd,4.8,10.0,86.0,8458366.36
SUP0064,MediServe Pharma,4.4,3.0,85.0,9337878.43
SUP0019,Biocon Ltd,4.9,13.0,85.0,8951646.49
SUP0026,Wockhardt Ltd,4.7,9.0,85.0,9373133.4
SUP0036,Wellness Forever Distribution,4.5,5.0,85.0,7933474.22
SUP0069,Unity Pharma Traders,4.5,5.0,85.0,13555185.38
SUP0057,City Medical Distributors,4.4,4.0,84.0,10470126.68
SUP0023,Divi's Laboratories Ltd,5.0,16.0,84.0,9242175.98
SUP0059,SV Medical Traders,4.5,7.0,83.0,10927421.02
SUP0056,Global Pharma Agencies,4.4,5.0,83.0,10015490.38
SUP0075,Supreme Pharma Traders,4.4,5.0,83.0,7810782.88
SUP0066,Sigma Healthcare Suppliers,4.4,5.0,83.0,9447404.79
SUP0054,National Pharma Traders,4.3,3.0,83.0,10240704.45
SUP0002,Dr. Reddy's Laboratories Ltd,4.6,10.0,82.0,7023754.6
SUP0044,North India Medical Suppliers,4.4,6.0,82.0,8058902.24
SUP0058,RK Pharma Agencies,4.3,4.0,82.0,9270195.08
SUP0072,MedCore Healthcare,4.2,2.0,82.0,12645725.64
SUP0020,Alembic Pharmaceuticals Ltd,4.5,9.0,81.0,10705780.05
SUP0043,South India Pharma Distributors,4.2,3.0,81.0,10661681.5
SUP0008,Mankind Pharma Ltd,4.8,15.0,81.0,7949834.88
SUP0025,Ipca Laboratories Ltd,4.7,13.0,81.0,9789231.86
SUP0031,MedPlus Health Services,4.3,6.0,80.0,9079757.03
SUP0004,Lupin Ltd,4.7,14.0,80.0,7892036.88
SUP0067,Apex Pharma Traders,4.2,6.0,78.0,7402266.18
SUP0038,CarePlus Distributors,4.4,10.0,78.0,8131674.4399999995
SUP0003,Cipla Ltd,4.6,14.0,78.0,10617306.1
SUP0017,Micro Labs Ltd,4.3,8.0,78.0,11252282.83
SUP0007,Alkem Laboratories Ltd,4.5,13.0,77.0,10739544.07
SUP0042,MediLink Healthcare,4.3,9.0,77.0,11282623.35
SUP0029,Ajanta Pharma Ltd,4.8,19.0,77.0,11285881.120000001
SUP0009,Zydus Lifesciences Ltd,4.8,20.0,76.0,8653640.7
SUP0001,Sun Pharmaceutical Industries Ltd,4.2,8.0,76.0,13572631.75
SUP0048,Universal Pharma Traders,4.0,4.0,76.0,7791973.92
SUP0024,Granules India Ltd,4.7,18.0,76.0,9510920.91
SUP0037,PharmEasy Supply Chain,4.1,9.0,73.0,7242923.23
SUP0005,Aurobindo Pharma Ltd,4.5,17.0,73.0,10658887.7
SUP0046,Western Medical Distributors,4.0,7.0,73.0,6289475.06
SUP0039,LifeCare Pharma Distributors,4.0,7.0,73.0,11024723.39
SUP0012,Pfizer India Ltd,4.5,17.0,73.0,8794825.45
SUP0065,Nova Medical Traders,4.0,7.0,73.0,9073757.2
SUP0061,Elite Medical Agencies,3.7,2.0,72.0,8599021.87
SUP0053,Jai Pharma Agencies,3.8999999999999995,6.0,72.0,10284208.85
SUP0051,Sri Balaji Medical Suppliers,3.9,6.0,72.0,10729945.95
SUP0015,Bayer Pharmaceuticals Pvt Ltd,4.2,12.0,72.0,9044269.28
SUP0014,GSK Pharmaceuticals Ltd,4.2,13.0,71.0,11428535.540000001
SUP0030,Eris Lifesciences Ltd,4.2,13.0,71.0,9974088.46
SUP0016,Cadila Pharmaceuticals Ltd,4.3,16.0,70.0,13478562.07
SUP0050,Sai Pharma Agencies,3.8,6.0,70.0,13573814.01
SUP0049,Shree Medical Agencies,3.8,7.0,69.0,10302158.32
SUP0060,Metro Pharma Suppliers,3.8,7.0,69.0,10472973.85
SUP0032,Apollo Pharmacy Distribution,3.9,9.0,69.0,11130579.69
SUP0040,Prime Medical Distributors,3.8,7.0,69.0,13038379.450000001
SUP0073,Trust Medical Distributors,3.5,2.0,68.0,6035636.38
