Medicine_ID,Generic_Name,Revenue,Profit,Inventory_Value,Waste_Value
MED107689,Esomeprazole Magnesium,274.08,346366.91000000015,972303.6399999999,74331.4
MED131786,Lidocaine Hci,0.0,324387.5800000001,892608.0,0.0
MED120674,Tacrolimus,0.0,260357.67999999996,706405.39,211042.38
MED100309,Cevimeline Hydrochloride,0.0,252019.3,819718.7,177995.04
MED021777,Asenapine Maleate,0.0,237853.61999999997,631548.97,191639.42
MED013319,Aripiprazole,0.0,228481.3699999999,661828.12,23351.76
MED058126,Levothyroxine Sodium,0.0,225864.19000000006,629375.7,0.0
MED067514,Succinylcholine Chloride,0.0,221815.2400000001,559315.4199999999,0.0
MED010826,Enalapril Maleate,0.0,212547.29999999996,533900.5700000001,37275.55
MED119866,Benzalkonium Chloride,0.0,207731.1399999999,524010.63,0.0
MED056437,Titanium Dioxide,0.0,207476.80000000005,592848.96,2390.52
MED024596,Tramadol Hydrochloride,0.0,206431.93999999997,556590.87,19898.55
MED096650,"Berberis Vulg, Dulcamara, Equisetum Hyemle, Eupatorium Purp",0.0,205293.70000000007,576146.2,10528.56
MED045703,Cimetidine,0.0,202959.9,570527.1,0.0
MED117869,Menthol,0.0,201348.44999999995,572117.31,0.0
MED000911,Gabapentin,254.68,200625.72,592145.76,0.0
MED106182,Benzalkonium Chloride,0.0,199655.8200000001,528960.78,0.0
MED075347,Drospirenone And Ethinyl Estradiol,0.0,197330.8899999999,529840.5800000001,0.0
MED134071,Levofloxacin,0.0,196395.19999999995,561778.35,0.0
MED047420,Alprazolam,0.0,196195.31999999995,541249.68,104533.2
MED005058,Pregabalin,0.0,195995.61,535676.22,0.0
MED078427,Quetiapine,0.0,195471.7199999999,546786.56,86969.52
MED078790,Lurasidone Hydrochloride,0.0,194290.14,520148.64,0.0
MED100463,"Chlorpheniramine Maleate, Dextromethorphan Hbr",0.0,192413.79999999996,498434.18000000005,0.0
MED135113,Diltiazem Hydrochloride,0.0,192329.43999999997,494305.28,49315.84
MED036956,Mammary Drops,0.0,191791.15000000008,495814.65,117570.42
MED033251,Aluminium Sulphuricum,0.0,191715.81000000008,508715.61,0.0
MED039767,"Butalbital, Acetaminophen And Caffeine",0.0,189111.20000000007,521520.5,95701.7
MED135665,Guaifenesin,0.0,189067.4,483144.00000000006,7659.6
MED021439,"Dextromethorphan Hydrobromide, Guaifenesin, Phenylephrine Hydrochloride",0.0,188363.4,562235.64,40715.68
MED028947,Menthol 5% Numbing,0.0,187201.6,525734.0,0.0
MED014965,"Homosalate, Octisalate, Octocrylene, Avobenzone",0.0,186795.41,818575.35,202980.57
MED089903,Acetaminophen,0.0,186533.2799999999,514880.16,19134.06
MED053176,Lidocaine Hydrochloride,0.0,186063.33000000007,524581.47,0.0
MED069626,"Homosalate, Octisalate, Zinc Oxide",0.0,185743.33999999994,526162.15,57313.76
MED038621,Deutetrabenazine,0.0,184369.99999999997,487229.05,0.0
MED025883,Nicotine Polacrilex,0.0,183842.15000000008,518262.9,19334.16
MED060200,Formalinum,0.0,183269.44000000006,670960.98,26629.56
MED000613,Adenosine,0.0,182969.28000000003,520739.28,101790.6
MED077380,Pravastatin Sodium,0.0,181183.91999999995,513736.56000000006,0.0
MED067679,Morphine Sulfate,0.0,180700.55999999997,500228.4,0.0
MED036144,Difelikefalin,0.0,180105.03999999998,469030.19000000006,22100.32
MED120830,Montelukast Sodium,0.0,178982.72999999998,621122.37,124755.84
MED128380,Abacavir,0.0,178238.76,559826.54,41181.27
MED051672,Progesterone,0.0,178166.71999999997,538360.64,110224.7
