Inventory_ID,Medicine_ID,Supplier_ID,Batch_Number,Manufacturing_Date,Expiry_Date,Quantity_In_Stock,Unit_Cost,Selling_Price,Reorder_Level,Storage_Temperature,Warehouse_Location,Stock_Status,Last_Restock_Date
INV001550,MED000001,SUP0025,BAT927895,2024-07-03,2026-06-23,110,358.06,473.74,93,Frozen (-20°C),WH-A,In Stock,2024-11-20
INV004017,MED000001,SUP0032,BAT334977,2023-12-29,2026-11-13,762,224.82,313.34,135,Refrigerated (2–8°C),WH-D,In Stock,2024-03-19
INV004889,MED000001,SUP0018,BAT335312,2025-03-21,2027-06-09,289,73.12,90.57,113,Refrigerated (2–8°C),WH-A,In Stock,2025-05-06
INV001707,MED000002,SUP0052,BAT774810,2024-08-05,2027-04-22,811,224.37,300.45,85,Room Temperature,WH-C,In Stock,2025-01-27
INV002714,MED000002,SUP0038,BAT813007,2024-03-03,2025-04-27,426,412.1,508.87,49,Frozen (-20°C),WH-A,In Stock,2024-07-13
INV004777,MED000002,SUP0074,BAT806526,2025-03-03,2026-02-26,257,531.27,676.87,141,Room Temperature,WH-D,In Stock,2025-06-03
INV004881,MED000002,SUP0005,BAT915059,2025-05-08,2026-10-30,495,381.21,519.85,188,Frozen (-20°C),WH-A,In Stock,2025-08-12
INV004344,MED000003,SUP0069,BAT738813,2026-05-02,2027-05-27,282,518.01,692.4,169,Refrigerated (2–8°C),WH-C,In Stock,2026-07-20
INV004855,MED000003,SUP0067,BAT209737,2024-07-04,2025-07-29,558,458.72,616.08,36,Room Temperature,WH-D,In Stock,2024-11-13
INV002774,MED000004,SUP0038,BAT773920,2026-05-17,2028-04-06,928,278.5,363.4,150,Refrigerated (2–8°C),WH-A,In Stock,2026-07-08
INV003861,MED000004,SUP0039,BAT108807,2023-10-01,2025-03-24,480,15.99,21.59,77,Refrigerated (2–8°C),WH-E,In Stock,2023-11-25
INV004051,MED000004,SUP0034,BAT761821,2025-07-13,2027-10-31,921,167.37,222.9,71,Refrigerated (2–8°C),WH-C,In Stock,2025-11-28
INV004951,MED000004,SUP0010,BAT167403,2024-06-22,2027-04-08,224,77.92,100.59,30,Refrigerated (2–8°C),WH-C,In Stock,2024-08-29
INV002152,MED000005,SUP0008,BAT121622,2023-08-27,2026-01-13,385,477.0,643.36,88,Refrigerated (2–8°C),WH-D,In Stock,2024-01-21
INV001769,MED000006,SUP0015,BAT146266,2023-11-19,2026-11-03,816,77.97,96.8,156,Frozen (-20°C),WH-D,In Stock,2024-01-03
INV002476,MED000006,SUP0023,BAT879040,2025-06-05,2027-03-27,746,499.89,678.03,78,Refrigerated (2–8°C),WH-C,In Stock,2025-07-06
INV004445,MED000006,SUP0056,BAT644894,2025-05-15,2027-12-01,811,148.58,179.92,63,Refrigerated (2–8°C),WH-D,In Stock,2025-06-04
INV001163,MED000007,SUP0056,BAT170528,2026-04-20,2028-09-06,213,28.09,37.57,70,Frozen (-20°C),WH-D,In Stock,2026-07-20
INV000033,MED000008,SUP0043,BAT908577,2024-04-13,2026-11-29,165,333.25,428.41,138,Room Temperature,WH-A,In Stock,2024-07-04
INV000338,MED000008,SUP0055,BAT191884,2025-03-15,2027-11-30,614,123.81,149.21,147,Room Temperature,WH-C,In Stock,2025-09-06
INV000548,MED000008,SUP0033,BAT112800,2026-02-14,2028-05-04,556,366.75,476.3,26,Room Temperature,WH-E,In Stock,2026-07-06
INV002393,MED000008,SUP0051,BAT926909,2025-02-22,2026-09-15,689,114.66,154.98,64,Frozen (-20°C),WH-B,In Stock,2025-05-02
INV003021,MED000008,SUP0030,BAT358927,2024-02-24,2026-12-10,402,176.91,218.87,182,Frozen (-20°C),WH-D,In Stock,2024-05-07
INV003716,MED000008,SUP0036,BAT974680,2024-12-16,2026-06-09,257,238.42,299.94,80,Room Temperature,WH-B,In Stock,2025-04-10
INV000568,MED000009,SUP0040,BAT146168,2024-01-15,2025-11-05,910,66.35,89.79,36,Frozen (-20°C),WH-C,In Stock,2024-05-28
INV001028,MED000009,SUP0054,BAT134261,2023-08-21,2024-08-15,809,505.26,658.75,120,Frozen (-20°C),WH-E,In Stock,2023-10-14
INV002903,MED000009,SUP0053,BAT479676,2026-01-24,2027-08-17,871,290.61,368.38,46,Refrigerated (2–8°C),WH-D,In Stock,2026-05-02
INV003857,MED000009,SUP0016,BAT240659,2026-04-04,2027-12-25,600,70.8,90.49,27,Room Temperature,WH-E,In Stock,2026-07-20
INV004364,MED000009,SUP0019,BAT440153,2023-09-14,2026-04-01,507,158.81,191.34,29,Refrigerated (2–8°C),WH-B,In Stock,2023-11-07
INV004589,MED000009,SUP0024,BAT468477,2025-09-26,2027-12-15,63,76.72,99.42,64,Frozen (-20°C),WH-B,Low Stock,2026-03-23
INV000370,MED000010,SUP0005,BAT659711,2024-09-01,2027-07-18,972,535.74,723.98,28,Frozen (-20°C),WH-B,In Stock,2024-12-20
INV001874,MED000010,SUP0062,BAT368881,2024-01-14,2026-05-03,804,339.26,429.32,104,Refrigerated (2–8°C),WH-B,In Stock,2024-06-23
INV002202,MED000010,SUP0062,BAT110114,2024-10-08,2026-04-01,47,316.0,395.51,191,Room Temperature,WH-C,Low Stock,2025-01-24
INV002557,MED000010,SUP0005,BAT387211,2023-12-31,2026-02-18,315,433.49,549.84,53,Refrigerated (2–8°C),WH-E,In Stock,2024-02-16
INV004803,MED000012,SUP0062,BAT104696,2025-11-29,2027-01-23,446,488.97,635.95,179,Refrigerated (2–8°C),WH-D,In Stock,2026-05-05
INV000126,MED000013,SUP0024,BAT250210,2025-10-18,2026-12-12,758,583.23,710.58,187,Frozen (-20°C),WH-B,In Stock,2025-12-08
INV001871,MED000013,SUP0062,BAT169112,2023-11-18,2025-10-08,656,59.42,78.13,40,Room Temperature,WH-E,In Stock,2024-04-24
INV003332,MED000013,SUP0067,BAT228397,2025-10-27,2027-06-19,964,462.36,578.24,167,Frozen (-20°C),WH-D,In Stock,2025-12-07
INV003841,MED000013,SUP0004,BAT370351,2023-12-16,2025-11-05,310,587.08,807.69,64,Frozen (-20°C),WH-E,In Stock,2024-02-12
INV000625,MED000014,SUP0001,BAT288128,2024-01-19,2026-11-04,908,252.65,343.98,97,Refrigerated (2–8°C),WH-B,In Stock,2024-07-03
INV003325,MED000015,SUP0050,BAT518829,2024-02-23,2025-04-18,926,474.45,639.62,131,Frozen (-20°C),WH-A,In Stock,2024-04-24
INV004704,MED000015,SUP0003,BAT471664,2026-01-06,2027-08-29,726,573.22,743.43,159,Refrigerated (2–8°C),WH-C,In Stock,2026-04-16
INV001027,MED000016,SUP0048,BAT920192,2024-10-21,2027-02-08,274,162.38,222.09,193,Refrigerated (2–8°C),WH-B,In Stock,2025-01-16
INV001559,MED000016,SUP0022,BAT362773,2025-11-18,2027-01-12,896,93.16,128.27,110,Room Temperature,WH-E,In Stock,2026-04-06
INV003751,MED000016,SUP0001,BAT823791,2024-02-21,2026-10-08,654,570.97,728.13,45,Refrigerated (2–8°C),WH-B,In Stock,2024-08-02
INV000031,MED000017,SUP0071,BAT413921,2024-02-18,2025-06-12,118,446.74,549.98,52,Refrigerated (2–8°C),WH-E,In Stock,2024-05-10
INV001900,MED000017,SUP0028,BAT268485,2025-07-02,2026-06-27,505,591.29,746.58,79,Room Temperature,WH-D,In Stock,2025-08-04
INV002115,MED000017,SUP0034,BAT249642,2026-04-12,2028-05-01,432,560.51,729.68,59,Room Temperature,WH-C,In Stock,2026-06-19
INV004087,MED000018,SUP0041,BAT764162,2023-07-28,2025-03-19,133,20.72,26.85,131,Frozen (-20°C),WH-E,In Stock,2023-12-11
INV003077,MED000019,SUP0032,BAT316364,2023-07-23,2025-03-14,285,43.25,52.06,89,Room Temperature,WH-D,In Stock,2023-11-10
INV003988,MED000019,SUP0053,BAT935460,2025-03-17,2026-08-09,161,433.82,600.13,170,Frozen (-20°C),WH-C,Low Stock,2025-07-27
INV000808,MED000020,SUP0029,BAT879243,2023-08-30,2026-08-14,696,118.95,162.16,116,Frozen (-20°C),WH-C,In Stock,2023-11-24
INV001994,MED000021,SUP0006,BAT416430,2025-02-09,2027-07-29,868,231.99,281.36,102,Frozen (-20°C),WH-E,In Stock,2025-06-14
INV000821,MED000022,SUP0059,BAT502569,2026-02-25,2028-03-16,634,207.07,287.31,50,Room Temperature,WH-D,In Stock,2026-07-20
INV001649,MED000022,SUP0024,BAT318841,2023-09-13,2024-09-07,109,468.29,572.44,110,Room Temperature,WH-E,Low Stock,2024-02-25
INV002918,MED000022,SUP0065,BAT370345,2025-09-06,2027-12-25,759,11.79,15.17,131,Frozen (-20°C),WH-E,In Stock,2025-12-19
